GPCR ID,GPCR name,Peptide,log EC50 (M),95% Confidence Interval,EC50 (M),,,,
C46F4.1-2,EGL-6-2,FLP-17-4,-8.128,-8.259 to -7.997,7.44E-09,,,,
C46F4.1-2,EGL-6-2,FLP-4-1,-6.337,-6.442 to -6.232,4.60E-07,,,,
C46F4.1-2,EGL-6-2,FLP-4-2,-5.876,-6.044 to -5.708,1.33E-06,,,,
C46F4.1-2,EGL-6-2,FLP-5-1,-6.571,-6.671 to -6.470,2.69E-07,,,,
C46F4.1-2,EGL-6-2,FLP-5-2,-6.295,-6.415 to -6.175,5.07E-07,,,,
C46F4.1-2,EGL-6-2,FLP-5-3,-5.973,-6.096 to -5.849,1.07E-06,,,,
C46F4.1-2,EGL-6-2,FLP-6-1,-6.339,-6.429 to -6.249,4.58E-07,,,,
C46F4.1-2,EGL-6-2,FLP-6-2,-6.083,-6.181 to -5.986,8.25E-07,,,,
C46F4.1-2,EGL-6-2,FLP-8-1,-5.883,-6.008 to -5.758,1.31E-06,,,,
C46F4.1-2,EGL-6-2,FLP-8-2,-5.596,-5.733 to -5.458,2.54E-06,,,,
C46F4.1-2,EGL-6-2,FLP-9-1,-5.977,-6.084 to -5.869,1.06E-06,,,,
C46F4.1-2,EGL-6-2,FLP-9-2,-7.136,-7.264 to -7.008,7.32E-08,,,,
C46F4.1-2,EGL-6-2,pyroFLP-10-1,-8.449,-8.641 to -8.258,3.56E-09,,,,
C48C5.1-1,NMUR-1-1,NLP-44-1,-8.203,-8.304 to -8.102,6.27E-09,,,,
C48C5.1-1,NMUR-1-1,NLP-44-2,-5.096,-5.336 to -4.857,8.01E-06,,,,
C48C5.1-1,NMUR-1-1,NLP-44-3,-6.847,-6.906 to -6.787,1.42E-07,,,,
C49A9.7-1,TKR-2-1,NLP-58-1,-6.065,-6.167 to -5.964,8.605E-07,,,,
C49A9.7-1,TKR-2-1,NLP-58-2,-6.836,-6.944 to -6.728,1.459E-07,,,,
C49A9.7-1,TKR-2-1,NLP-58-3,-6.204,-6.346 to -6.061,6.256E-07,,,,
C50F7.1-1,NPR-35-1,NLP-10-1,-6.526,-6.600 to -6.453,2.977E-07,,,,
C50F7.1-1,NPR-35-1,NLP-10-2,-6.448,-6.557 to -6.339,3.565E-07,,,,
C50F7.1-1,NPR-35-1,NLP-10-3,-6.122,-6.176 to -6.067,7.559E-07,,,,
C50F7.1-1,NPR-35-1,NLP-10-4,-6.164,-6.211 to -6.118,6.850E-07,,,,
C53C7.1-1,NPR-10-1,FLP-18-1,-5.323,-5.482 to -5.163,4.755E-06,,,,
C53C7.1-1,NPR-10-1,FLP-18-2,-6.030,-6.130 to -5.929,9.343E-07,,,,
C53C7.1-1,NPR-10-1,FLP-18-3,-5.873,-5.963 to -5.783,1.339E-06,,,,
C53C7.1-1,NPR-10-1,FLP-18-4,-6.248,-6.334 to -6.162,5.647E-07,,,,
C53C7.1-1,NPR-10-1,FLP-18-5,-5.923,-6.040 to -5.806,1.195E-06,,,,
C53C7.1-1,NPR-10-1,FLP-18-6,-5.106,-5.337 to -4.874,7.842E-06,,,,
C53C7.1-1,NPR-10-1,FLP-18-7,-5.709,-5.791 to -5.627,1.954E-06,,,,
C53C7.1-1,NPR-10-1,FLP-18-8,-5.869,-5.955 to -5.782,1.353E-06,,,,
C53C7.1-1,NPR-10-1,FLP-3-1,-6.582,-6.697 to -6.466,2.621E-07,,,,
C53C7.1-1,NPR-10-1,FLP-3-2,-6.436,-6.547 to -6.325,3.665E-07,,,,
C53C7.1-1,NPR-10-1,FLP-3-3,-6.062,-6.144 to -5.980,8.667E-07,,,,
C53C7.1-1,NPR-10-1,FLP-3-4,-6.369,-6.444 to -6.295,4.271E-07,,,,
C53C7.1-1,NPR-10-1,FLP-3-5,-5.950,-6.022 to -5.877,1.123E-06,,,,
C53C7.1-1,NPR-10-1,FLP-3-7,-6.358,-6.43 to -6.285,4.386E-07,,,,
C53C7.1-1,NPR-10-1,FLP-3-8,-7.014,-7.280 to -6.749,9.673E-08,,,,
C53C7.1-1,NPR-10-1,FLP-3-9,-6.119,-6.198 to -6.04,7.601E-07,,,,
C53C7.1-1,NPR-10-1,pyroFLP-18-2,-5.939,-6.079 to -5.800,1.150E-06,,,,
C53C7.1-1,NPR-10-1,pyroFLP-18-4,-5.455,-5.573 to -5.337,3.507E-06,,,,
C53C7.1-1,NPR-10-1,pyroFLP-3-3,-5.882,-5.962 to -5.802,1.313E-06,,,,
C54A12.2-1,FRPR-4-1,FLP-13-1,-6.066,-6.180 to -5.952,8.595E-07,,,,
C54A12.2-1,FRPR-4-1,FLP-13-2,-5.961,-6.078 to -5.843,1.095E-06,,,,
C54A12.2-1,FRPR-4-1,FLP-13-3,-5.808,-5.932 to -5.684,1.557E-06,,,,
C54A12.2-1,FRPR-4-1,FLP-13-4,-6.050,-6.159 to -5.941,8.919E-07,,,,
C54A12.2-1,FRPR-4-1,FLP-13-5,-6.123,-6.231 to -6.015,7.539E-07,,,,
C54A12.2-1,FRPR-4-1,FLP-13-6,-5.787,-5.901 to -5.673,1.632E-06,,,,
C54A12.2-1,FRPR-4-1,FLP-13-7,-6.046,-6.157 to -5.935,8.993E-07,,,,
C56G3.1-1,NPR-8-1,FLP-27-1,-5.612,-5.840 to -5.384,2.444E-06,,,,
C56G3.1-1,NPR-8-1,FLP-27-3,-7.062,-7.402 to -6.722,8.673E-08,,,,
C56G3.1-1,NPR-8-1,FLP-27-4,-6.661,-6.720 to -6.601,2.184E-07,,,,
C56G3.1-1,NPR-8-1,pyroFLP-27-3,-8.196,-8.373 to -8.018,6.373E-09,,,,
C56G3.1-1,NPR-8-1,pyroFLP-27-4,-7.542,-7.692 to -7.391,2.873E-08,,,,
C56G3.1-2,NPR-8-2,FLP-27-1,-6.241,-6.455 to -6.028,5.739E-07,,,,
C56G3.1-2,NPR-8-2,FLP-27-3,-7.444,-7.911 to -6.976,3.600E-08,,,,
C56G3.1-2,NPR-8-2,FLP-27-4,-6.346,-6.403 to -6.289,4.507E-07,,,,
C56G3.1-2,NPR-8-2,pyroFLP-27-3,-7.893,-8.124 to -7.661,1.280E-08,,,,
C56G3.1-2,NPR-8-2,pyroFLP-27-4,-7.201,-7.38 to -7.022,6.301E-08,,,,
F13D2.2-1,GNRR-6-1,NLP-2-1,-6.869,-6.935 to -6.803,1.353E-07,,,,
F13D2.2-1,GNRR-6-1,NLP-2-2,-6.266,-6.369 to -6.162,5.421E-07,,,,
F13D2.2-1,GNRR-6-1,NLP-2-3,-6.773,-6.965 to -6.582,1.685E-07,,,,
F13D2.2-1,GNRR-6-1,NLP-22-1,-8.392,-8.497 to -8.288,4.052E-09,,,,
