#source neuron, target neuron, transmitter, receptor
AQR,PLMR,pdf-2,pdfr-1
AQR,PQR,pdf-2,pdfr-1
AQR,PVCL,pdf-2,pdfr-1
AQR,PVCR,pdf-2,pdfr-1
AQR,PVM,pdf-2,pdfr-1
AQR,PVQL,pdf-2,pdfr-1
AQR,PVQR,pdf-2,pdfr-1
AQR,PVWL,pdf-2,pdfr-1
AQR,PVWR,pdf-2,pdfr-1
AQR,RIFL,pdf-2,pdfr-1
AQR,RIFR,pdf-2,pdfr-1
AQR,RMED,pdf-2,pdfr-1
AQR,RMEL,pdf-2,pdfr-1
AQR,RMER,pdf-2,pdfr-1
AQR,RMEV,pdf-2,pdfr-1
AQR,URXL,pdf-2,pdfr-1
AQR,URXR,pdf-2,pdfr-1
AQR,URYDL,pdf-2,pdfr-1
AQR,URYDR,pdf-2,pdfr-1
AQR,URYVL,pdf-2,pdfr-1
AQR,URYVR,pdf-2,pdfr-1
AVDL,ALML,pdf-2,pdfr-1
AVDL,ALMR,pdf-2,pdfr-1
AVDR,ALML,pdf-2,pdfr-1
AVDR,ALMR,pdf-2,pdfr-1
AVDL,AVDL,pdf-2,pdfr-1
AVDL,AVDR,pdf-2,pdfr-1
AVDR,AVDL,pdf-2,pdfr-1
AVDR,AVDR,pdf-2,pdfr-1
AVDL,AVFL,pdf-2,pdfr-1
AVDL,AVFR,pdf-2,pdfr-1
AVDR,AVFL,pdf-2,pdfr-1
AVDR,AVFR,pdf-2,pdfr-1
AVDL,AVM,pdf-2,pdfr-1
AVDR,AVM,pdf-2,pdfr-1
AVDL,DB2,pdf-2,pdfr-1
AVDR,DB2,pdf-2,pdfr-1
AVDL,FLPL,pdf-2,pdfr-1
AVDL,FLPR,pdf-2,pdfr-1
AVDR,FLPL,pdf-2,pdfr-1
AVDR,FLPR,pdf-2,pdfr-1
AVDL,I1L,pdf-2,pdfr-1
AVDL,I1R,pdf-2,pdfr-1
AVDR,I1L,pdf-2,pdfr-1
AVDR,I1R,pdf-2,pdfr-1
AVDL,OLLL,pdf-2,pdfr-1
AVDL,OLLR,pdf-2,pdfr-1
AVDR,OLLL,pdf-2,pdfr-1
AVDR,OLLR,pdf-2,pdfr-1
AVDL,OLQDL,pdf-2,pdfr-1
AVDL,OLQDR,pdf-2,pdfr-1
AVDL,OLQVL,pdf-2,pdfr-1
AVDL,OLQVR,pdf-2,pdfr-1
AVDR,OLQDL,pdf-2,pdfr-1
AVDR,OLQDR,pdf-2,pdfr-1
AVDR,OLQVL,pdf-2,pdfr-1
AVDR,OLQVR,pdf-2,pdfr-1
AVDL,PHAL,pdf-2,pdfr-1
AVDL,PHAR,pdf-2,pdfr-1
AVDR,PHAL,pdf-2,pdfr-1
AVDR,PHAR,pdf-2,pdfr-1
AVDL,PHBL,pdf-2,pdfr-1
AVDL,PHBR,pdf-2,pdfr-1
AVDR,PHBL,pdf-2,pdfr-1
AVDR,PHBR,pdf-2,pdfr-1
AVDL,PLML,pdf-2,pdfr-1
AVDL,PLMR,pdf-2,pdfr-1
AVDR,PLML,pdf-2,pdfr-1
AVDR,PLMR,pdf-2,pdfr-1
AVDL,PQR,pdf-2,pdfr-1
AVDR,PQR,pdf-2,pdfr-1
AVDL,PVCL,pdf-2,pdfr-1
AVDL,PVCR,pdf-2,pdfr-1
AVDR,PVCL,pdf-2,pdfr-1
AVDR,PVCR,pdf-2,pdfr-1
AVDL,PVM,pdf-2,pdfr-1
AVDR,PVM,pdf-2,pdfr-1
AVDL,PVQL,pdf-2,pdfr-1
AVDL,PVQR,pdf-2,pdfr-1
AVDR,PVQL,pdf-2,pdfr-1
AVDR,PVQR,pdf-2,pdfr-1
AVDL,PVWL,pdf-2,pdfr-1
AVDL,PVWR,pdf-2,pdfr-1
AVDR,PVWL,pdf-2,pdfr-1
AVDR,PVWR,pdf-2,pdfr-1
AVDL,RIFL,pdf-2,pdfr-1
AVDL,RIFR,pdf-2,pdfr-1
AVDR,RIFL,pdf-2,pdfr-1
AVDR,RIFR,pdf-2,pdfr-1
AVDL,RMED,pdf-2,pdfr-1
AVDL,RMEL,pdf-2,pdfr-1
AVDL,RMER,pdf-2,pdfr-1
AVDL,RMEV,pdf-2,pdfr-1
AVDR,RMED,pdf-2,pdfr-1
AVDR,RMEL,pdf-2,pdfr-1
AVDR,RMER,pdf-2,pdfr-1
AVDR,RMEV,pdf-2,pdfr-1
AVDL,URXL,pdf-2,pdfr-1
AVDL,URXR,pdf-2,pdfr-1
AVDR,URXL,pdf-2,pdfr-1
AVDR,URXR,pdf-2,pdfr-1
AVDL,URYDL,pdf-2,pdfr-1
AVDL,URYDR,pdf-2,pdfr-1
AVDL,URYVL,pdf-2,pdfr-1
AVDL,URYVR,pdf-2,pdfr-1
AVDR,URYDL,pdf-2,pdfr-1
AVDR,URYDR,pdf-2,pdfr-1
AVDR,URYVL,pdf-2,pdfr-1
AVDR,URYVR,pdf-2,pdfr-1
AVG,ALML,pdf-2,pdfr-1
AVG,ALMR,pdf-2,pdfr-1
AVG,AVDL,pdf-2,pdfr-1
AVG,AVDR,pdf-2,pdfr-1
AVG,AVFL,pdf-2,pdfr-1
AVG,AVFR,pdf-2,pdfr-1
AVG,AVM,pdf-2,pdfr-1
AVG,DB2,pdf-2,pdfr-1
AVG,FLPL,pdf-2,pdfr-1
AVG,FLPR,pdf-2,pdfr-1
AVG,I1L,pdf-2,pdfr-1
AVG,I1R,pdf-2,pdfr-1
AVG,OLLL,pdf-2,pdfr-1
AVG,OLLR,pdf-2,pdfr-1
AVG,OLQDL,pdf-2,pdfr-1
AVG,OLQDR,pdf-2,pdfr-1
AVG,OLQVL,pdf-2,pdfr-1
AVG,OLQVR,pdf-2,pdfr-1
AVG,PHAL,pdf-2,pdfr-1
AVG,PHAR,pdf-2,pdfr-1
AVG,PHBL,pdf-2,pdfr-1
AVG,PHBR,pdf-2,pdfr-1
AVG,PLML,pdf-2,pdfr-1
AVG,PLMR,pdf-2,pdfr-1
AVG,PQR,pdf-2,pdfr-1
AVG,PVCL,pdf-2,pdfr-1
AVG,PVCR,pdf-2,pdfr-1
AVG,PVM,pdf-2,pdfr-1
AVG,PVQL,pdf-2,pdfr-1
AVG,PVQR,pdf-2,pdfr-1
AVG,PVWL,pdf-2,pdfr-1
AVG,PVWR,pdf-2,pdfr-1
AVG,RIFL,pdf-2,pdfr-1
AVG,RIFR,pdf-2,pdfr-1
AVG,RMED,pdf-2,pdfr-1
AVG,RMEL,pdf-2,pdfr-1
AVG,RMER,pdf-2,pdfr-1
AVG,RMEV,pdf-2,pdfr-1
AVG,URXL,pdf-2,pdfr-1
AVG,URXR,pdf-2,pdfr-1
AVG,URYDL,pdf-2,pdfr-1
AVG,URYDR,pdf-2,pdfr-1
AVG,URYVL,pdf-2,pdfr-1
AVG,URYVR,pdf-2,pdfr-1
BDUL,ALML,pdf-2,pdfr-1
BDUL,ALMR,pdf-2,pdfr-1
BDUR,ALML,pdf-2,pdfr-1
BDUR,ALMR,pdf-2,pdfr-1
BDUL,AVDL,pdf-2,pdfr-1
BDUL,AVDR,pdf-2,pdfr-1
BDUR,AVDL,pdf-2,pdfr-1
BDUR,AVDR,pdf-2,pdfr-1
BDUL,AVFL,pdf-2,pdfr-1
BDUL,AVFR,pdf-2,pdfr-1
BDUR,AVFL,pdf-2,pdfr-1
BDUR,AVFR,pdf-2,pdfr-1
BDUL,AVM,pdf-2,pdfr-1
BDUR,AVM,pdf-2,pdfr-1
BDUL,DB2,pdf-2,pdfr-1
BDUR,DB2,pdf-2,pdfr-1
BDUL,FLPL,pdf-2,pdfr-1
BDUL,FLPR,pdf-2,pdfr-1
BDUR,FLPL,pdf-2,pdfr-1
BDUR,FLPR,pdf-2,pdfr-1
BDUL,I1L,pdf-2,pdfr-1
BDUL,I1R,pdf-2,pdfr-1
BDUR,I1L,pdf-2,pdfr-1
BDUR,I1R,pdf-2,pdfr-1
BDUL,OLLL,pdf-2,pdfr-1
BDUL,OLLR,pdf-2,pdfr-1
BDUR,OLLL,pdf-2,pdfr-1
BDUR,OLLR,pdf-2,pdfr-1
BDUL,OLQDL,pdf-2,pdfr-1
BDUL,OLQDR,pdf-2,pdfr-1
BDUL,OLQVL,pdf-2,pdfr-1
BDUL,OLQVR,pdf-2,pdfr-1
BDUR,OLQDL,pdf-2,pdfr-1
BDUR,OLQDR,pdf-2,pdfr-1
BDUR,OLQVL,pdf-2,pdfr-1
BDUR,OLQVR,pdf-2,pdfr-1
BDUL,PHAL,pdf-2,pdfr-1
BDUL,PHAR,pdf-2,pdfr-1
BDUR,PHAL,pdf-2,pdfr-1
BDUR,PHAR,pdf-2,pdfr-1
BDUL,PHBL,pdf-2,pdfr-1
BDUL,PHBR,pdf-2,pdfr-1
BDUR,PHBL,pdf-2,pdfr-1
BDUR,PHBR,pdf-2,pdfr-1
BDUL,PLML,pdf-2,pdfr-1
BDUL,PLMR,pdf-2,pdfr-1
BDUR,PLML,pdf-2,pdfr-1
BDUR,PLMR,pdf-2,pdfr-1
BDUL,PQR,pdf-2,pdfr-1
BDUR,PQR,pdf-2,pdfr-1
BDUL,PVCL,pdf-2,pdfr-1
BDUL,PVCR,pdf-2,pdfr-1
BDUR,PVCL,pdf-2,pdfr-1
BDUR,PVCR,pdf-2,pdfr-1
BDUL,PVM,pdf-2,pdfr-1
BDUR,PVM,pdf-2,pdfr-1
BDUL,PVQL,pdf-2,pdfr-1
BDUL,PVQR,pdf-2,pdfr-1
BDUR,PVQL,pdf-2,pdfr-1
BDUR,PVQR,pdf-2,pdfr-1
BDUL,PVWL,pdf-2,pdfr-1
BDUL,PVWR,pdf-2,pdfr-1
BDUR,PVWL,pdf-2,pdfr-1
BDUR,PVWR,pdf-2,pdfr-1
BDUL,RIFL,pdf-2,pdfr-1
BDUL,RIFR,pdf-2,pdfr-1
BDUR,RIFL,pdf-2,pdfr-1
BDUR,RIFR,pdf-2,pdfr-1
BDUL,RMED,pdf-2,pdfr-1
BDUL,RMEL,pdf-2,pdfr-1
BDUL,RMER,pdf-2,pdfr-1
BDUL,RMEV,pdf-2,pdfr-1
BDUR,RMED,pdf-2,pdfr-1
BDUR,RMEL,pdf-2,pdfr-1
BDUR,RMER,pdf-2,pdfr-1
BDUR,RMEV,pdf-2,pdfr-1
BDUL,URXL,pdf-2,pdfr-1
BDUL,URXR,pdf-2,pdfr-1
BDUR,URXL,pdf-2,pdfr-1
BDUR,URXR,pdf-2,pdfr-1
BDUL,URYDL,pdf-2,pdfr-1
BDUL,URYDR,pdf-2,pdfr-1
BDUL,URYVL,pdf-2,pdfr-1
BDUL,URYVR,pdf-2,pdfr-1
BDUR,URYDL,pdf-2,pdfr-1
BDUR,URYDR,pdf-2,pdfr-1
BDUR,URYVL,pdf-2,pdfr-1
BDUR,URYVR,pdf-2,pdfr-1
PHAL,ALML,pdf-2,pdfr-1
PHAL,ALMR,pdf-2,pdfr-1
PHAR,ALML,pdf-2,pdfr-1
PHAR,ALMR,pdf-2,pdfr-1
PHAL,AVDL,pdf-2,pdfr-1
PHAL,AVDR,pdf-2,pdfr-1
PHAR,AVDL,pdf-2,pdfr-1
PHAR,AVDR,pdf-2,pdfr-1
PHAL,AVFL,pdf-2,pdfr-1
PHAL,AVFR,pdf-2,pdfr-1
PHAR,AVFL,pdf-2,pdfr-1
PHAR,AVFR,pdf-2,pdfr-1
PHAL,AVM,pdf-2,pdfr-1
PHAR,AVM,pdf-2,pdfr-1
PHAL,DB2,pdf-2,pdfr-1
PHAR,DB2,pdf-2,pdfr-1
PHAL,FLPL,pdf-2,pdfr-1
PHAL,FLPR,pdf-2,pdfr-1
PHAR,FLPL,pdf-2,pdfr-1
PHAR,FLPR,pdf-2,pdfr-1
PHAL,I1L,pdf-2,pdfr-1
PHAL,I1R,pdf-2,pdfr-1
PHAR,I1L,pdf-2,pdfr-1
PHAR,I1R,pdf-2,pdfr-1
PHAL,OLLL,pdf-2,pdfr-1
PHAL,OLLR,pdf-2,pdfr-1
PHAR,OLLL,pdf-2,pdfr-1
PHAR,OLLR,pdf-2,pdfr-1
PHAL,OLQDL,pdf-2,pdfr-1
PHAL,OLQDR,pdf-2,pdfr-1
PHAL,OLQVL,pdf-2,pdfr-1
PHAL,OLQVR,pdf-2,pdfr-1
PHAR,OLQDL,pdf-2,pdfr-1
PHAR,OLQDR,pdf-2,pdfr-1
PHAR,OLQVL,pdf-2,pdfr-1
PHAR,OLQVR,pdf-2,pdfr-1
PHAL,PHAL,pdf-2,pdfr-1
PHAL,PHAR,pdf-2,pdfr-1
PHAR,PHAL,pdf-2,pdfr-1
PHAR,PHAR,pdf-2,pdfr-1
PHAL,PHBL,pdf-2,pdfr-1
PHAL,PHBR,pdf-2,pdfr-1
PHAR,PHBL,pdf-2,pdfr-1
PHAR,PHBR,pdf-2,pdfr-1
PHAL,PLML,pdf-2,pdfr-1
PHAL,PLMR,pdf-2,pdfr-1
PHAR,PLML,pdf-2,pdfr-1
PHAR,PLMR,pdf-2,pdfr-1
PHAL,PQR,pdf-2,pdfr-1
PHAR,PQR,pdf-2,pdfr-1
PHAL,PVCL,pdf-2,pdfr-1
PHAL,PVCR,pdf-2,pdfr-1
PHAR,PVCL,pdf-2,pdfr-1
PHAR,PVCR,pdf-2,pdfr-1
PHAL,PVM,pdf-2,pdfr-1
PHAR,PVM,pdf-2,pdfr-1
PHAL,PVQL,pdf-2,pdfr-1
PHAL,PVQR,pdf-2,pdfr-1
PHAR,PVQL,pdf-2,pdfr-1
PHAR,PVQR,pdf-2,pdfr-1
PHAL,PVWL,pdf-2,pdfr-1
PHAL,PVWR,pdf-2,pdfr-1
PHAR,PVWL,pdf-2,pdfr-1
PHAR,PVWR,pdf-2,pdfr-1
PHAL,RIFL,pdf-2,pdfr-1
PHAL,RIFR,pdf-2,pdfr-1
PHAR,RIFL,pdf-2,pdfr-1
PHAR,RIFR,pdf-2,pdfr-1
PHAL,RMED,pdf-2,pdfr-1
PHAL,RMEL,pdf-2,pdfr-1
PHAL,RMER,pdf-2,pdfr-1
PHAL,RMEV,pdf-2,pdfr-1
PHAR,RMED,pdf-2,pdfr-1
PHAR,RMEL,pdf-2,pdfr-1
PHAR,RMER,pdf-2,pdfr-1
PHAR,RMEV,pdf-2,pdfr-1
PHAL,URXL,pdf-2,pdfr-1
PHAL,URXR,pdf-2,pdfr-1
PHAR,URXL,pdf-2,pdfr-1
PHAR,URXR,pdf-2,pdfr-1
PHAL,URYDL,pdf-2,pdfr-1
PHAL,URYDR,pdf-2,pdfr-1
PHAL,URYVL,pdf-2,pdfr-1
PHAL,URYVR,pdf-2,pdfr-1
PHAR,URYDL,pdf-2,pdfr-1
PHAR,URYDR,pdf-2,pdfr-1
PHAR,URYVL,pdf-2,pdfr-1
PHAR,URYVR,pdf-2,pdfr-1
PHBL,ALML,pdf-2,pdfr-1
PHBL,ALMR,pdf-2,pdfr-1
PHBR,ALML,pdf-2,pdfr-1
PHBR,ALMR,pdf-2,pdfr-1
PHBL,AVDL,pdf-2,pdfr-1
PHBL,AVDR,pdf-2,pdfr-1
PHBR,AVDL,pdf-2,pdfr-1
PHBR,AVDR,pdf-2,pdfr-1
PHBL,AVFL,pdf-2,pdfr-1
PHBL,AVFR,pdf-2,pdfr-1
PHBR,AVFL,pdf-2,pdfr-1
PHBR,AVFR,pdf-2,pdfr-1
PHBL,AVM,pdf-2,pdfr-1
PHBR,AVM,pdf-2,pdfr-1
PHBL,DB2,pdf-2,pdfr-1
PHBR,DB2,pdf-2,pdfr-1
PHBL,FLPL,pdf-2,pdfr-1
PHBL,FLPR,pdf-2,pdfr-1
PHBR,FLPL,pdf-2,pdfr-1
PHBR,FLPR,pdf-2,pdfr-1
PHBL,I1L,pdf-2,pdfr-1
PHBL,I1R,pdf-2,pdfr-1
PHBR,I1L,pdf-2,pdfr-1
PHBR,I1R,pdf-2,pdfr-1
PHBL,OLLL,pdf-2,pdfr-1
PHBL,OLLR,pdf-2,pdfr-1
PHBR,OLLL,pdf-2,pdfr-1
PHBR,OLLR,pdf-2,pdfr-1
PHBL,OLQDL,pdf-2,pdfr-1
PHBL,OLQDR,pdf-2,pdfr-1
PHBL,OLQVL,pdf-2,pdfr-1
PHBL,OLQVR,pdf-2,pdfr-1
PHBR,OLQDL,pdf-2,pdfr-1
PHBR,OLQDR,pdf-2,pdfr-1
PHBR,OLQVL,pdf-2,pdfr-1
PHBR,OLQVR,pdf-2,pdfr-1
PHBL,PHAL,pdf-2,pdfr-1
PHBL,PHAR,pdf-2,pdfr-1
PHBR,PHAL,pdf-2,pdfr-1
PHBR,PHAR,pdf-2,pdfr-1
PHBL,PHBL,pdf-2,pdfr-1
PHBL,PHBR,pdf-2,pdfr-1
PHBR,PHBL,pdf-2,pdfr-1
PHBR,PHBR,pdf-2,pdfr-1
PHBL,PLML,pdf-2,pdfr-1
PHBL,PLMR,pdf-2,pdfr-1
PHBR,PLML,pdf-2,pdfr-1
PHBR,PLMR,pdf-2,pdfr-1
PHBL,PQR,pdf-2,pdfr-1
PHBR,PQR,pdf-2,pdfr-1
PHBL,PVCL,pdf-2,pdfr-1
PHBL,PVCR,pdf-2,pdfr-1
PHBR,PVCL,pdf-2,pdfr-1
PHBR,PVCR,pdf-2,pdfr-1
PHBL,PVM,pdf-2,pdfr-1
PHBR,PVM,pdf-2,pdfr-1
PHBL,PVQL,pdf-2,pdfr-1
PHBL,PVQR,pdf-2,pdfr-1
PHBR,PVQL,pdf-2,pdfr-1
PHBR,PVQR,pdf-2,pdfr-1
